Descrição do Alimento,Preço(100g),Energia(kcal),Proteína(g),Lipídeos(g),Carboidrato(g),Fibra Alimentar(g),Cálcio(mg),Ferro(mg),Sódio(mg),VitaminaC(mg)
"Ervilha, em vagem",4.1,88.09,7.45,0.47,14.23,9.72,24.44,1.44,0.00,12.44
"Ervilha, enlatada, drenada",2.58,73.84,4.60,0.38,13.44,5.08,22.22,1.39,372.11,0.00
"Feijão, carioca, cozido",1.59,76.42,4.78,0.54,13.59,8.51,26.59,1.29,1.76,0.00
"Feijão, fradinho, cozido",1.75,78.01,5.09,0.64,13.50,7.47,17.45,1.06,0.98,0.00
"Feijão, jalo, cozido",1.49,92.74,6.14,0.51,16.50,13.87,29.40,1.92,0.52,0.00
"Feijão, preto, cozido",2.88,77.03,4.48,0.54,14.01,8.40,29.00,1.47,1.85,0.00
"Feijão, rajado, cozido",2.9,84.70,5.54,0.40,15.27,9.32,29.19,1.36,0.69,0.00
"Feijão, rosinha, cozido",31.12,67.87,4.54,0.48,11.82,4.76,19.24,1.18,2.08,0.00
"Feijão, roxo, cozido",1.1,76.89,5.72,0.54,12.91,11.51,22.53,1.41,1.46,0.00
"Grão-de-bico, cru",2.07,354.70,21.23,5.43,57.88,12.36,114.36,5.38,5.19,0.00
"Guandu, cru",03.01,344.13,18.96,2.13,64.00,21.31,129.34,1.94,1.62,1.47
"Lentilha, cozida",1.79,92.64,6.31,0.52,16.30,7.86,16.10,1.48,1.18,0.00
"Paçoca, amendoim",0.43,486.93,16.00,26.08,52.38,7.32,22.48,1.13,166.84,0.00
"Soja, farinha",1.45,403.96,36.03,14.63,38.44,20.18,206.02,13.06,5.75,0.00
"Soja, extrato solúvel, pó",4.95,458.90,35.69,26.18,28.48,7.31,359.04,7.01,83.47,9.21
"Soja, queijo (tofu)",1.99,64.49,6.55,3.95,2.13,0.75,80.76,1.43,1.21,0.00
"tremoço, cru",1.79,381.28,33.58,10.34,43.79,32.31,176.75,2.79,3.29,24.97
"tremoço, em conserva",1.80,120.64,11.11,3.78,12.39,14.44,15.54,0.34,1808.76,0.00
"Amêndoa, torrada, salgada",1.92,580.75,18.55,47.32,29.55,11.64,236.70,3.06,278.52,0.00
"Castanha-de-caju, torrada, salgada",1.99,570.17,18.51,46.28,29.13,3.66,32.59,5.22,125.00,0.00
"Castanha-do-Brasil, crua",19.6,642.96,14.54,63.46,15.08,7.93,146.34,2.31,0.65,0.00
"Coco, cru",2.1,406.49,3.69,41.98,10.40,5.38,6.48,1.76,15.32,2.49
"Farinha, de mesocarpo de babaçu, crua",5.19,328.77,1.41,0.20,79.17,17.86,60.95,18.33,12.46,0.00
"Gergelim, semente",2.09,583.55,21.16,50.43,21.62,11.87,825.45,5.45,2.58,0.00
"Linhaça, semente",31.12,495.10,14.08,32.25,43.31,33.50,211.50,4.70,8.67,0.00
"Pinhão, cozido",1.58,174.37,2.98,0.75,43.92,15.60,15.77,0.76,0.86,27.69
"Pupunha, cozida",9.96,218.53,2.52,12.76,29.57,4.25,27.59,0.52,0.91,2.18
"Noz, crua",2.17,620.06,13.97,59.36,18.36,7.25,105.31,2.04,4.57,0.00
